Iteration Key Index Time_taken(seconds)
~~ For list with 5000 elements ~~
0 6962 -1 0
1 3548 2892 0
2 6737 1755 0
3 2806 3170 0
4 7416 -1 0
5 1885 2316 0
6 9084 -1 0
7 2596 2736 0
8 9568 -1 0
9 1253 -1 0
10 1737 148 0
11 6174 -1 0
12 2351 -1 0
13 287 1685 0
14 2070 -1 0
15 3945 -1 0
16 1033 -1 0
17 9505 -1 0
18 3360 -1 0
19 7070 4653 0
20 626 1373 0
21 7536 -1 0
22 1094 -1 0
23 7776 4413 0
24 2897 -1 0
25 5654 -1 0
26 5342 -1 0
27 6287 1207 0
28 1365 3905 0
29 499 4306 0
30 2662 2418 0
31 6476 -1 0
32 6749 440 0
33 6529 -1 0
34 701 -1 0
35 2110 -1 0
36 9555 -1 0
37 3181 -1 0
38 2963 -1 0
39 4708 -1 0
40 3368 -1 0
41 2723 -1 0
42 4414 4742 0
43 7660 -1 0
44 2758 -1 0
45 8713 4540 0
46 7902 4114 0
47 3156 3681 0
48 5953 901 0
49 3359 1379 0
50 3572 -1 0
51 3807 -1 0
52 1936 727 0
53 6900 3201 0
54 622 -1 0
55 9978 -1 0
56 2987 -1 0
57 1341 2114 0
58 8870 3431 0
59 1935 1754 0
60 8053 -1 0
61 2706 -1 0
62 8029 -1 0
63 5513 -1 0
64 2428 1012 0
65 9081 -1 0
66 8498 -1 0
67 586 -1 0
68 15 -1 0
69 920 -1 0
70 9271 4420 0
71 9162 979 0
72 3391 -1 0
73 6405 2604 0
74 5045 -1 0
75 8113 3229 0
76 3304 -1 0
77 2832 -1 0
78 9390 -1 0
79 582 4528 0
80 7906 -1 0
81 7235 3663 0
82 356 1924 0
83 4744 -1 0
84 8884 -1 0
85 2936 380 0
86 5993 -1 0
87 925 -1 0
88 2488 -1 0
89 5692 3145 0
90 7862 -1 0
91 4506 -1 0
92 3413 -1 0
93 6114 -1 0
94 3856 -1 0
95 4995 -1 0
96 7016 -1 0
97 2668 -1 0
98 5623 2847 0
99 5475 115 0
~~ For list with 10000 elements ~~
0 1059 -1 0
1 9797 -1 0
2 13969 -1 0
3 17028 7842 0
4 17752 -1 0
5 8990 -1 0
6 5911 -1 0
7 5343 -1 0
8 18881 -1 0
9 7607 -1 0
10 8465 -1 0
11 1981 -1 0
12 1343 -1 0
13 7706 9358 0
14 11893 -1 0
15 19858 8833 0
16 7845 -1 0
17 16575 -1 0
18 13863 -1 0
19 12219 -1 0
20 11976 -1 0
21 17073 9649 0
22 5748 -1 0
23 5765 -1 0
24 10170 6088 0
25 1621 3225 0
26 8771 -1 0
27 2858 -1 0
28 11475 -1 0
29 19496 6466 0
30 2184 -1 0
31 6845 -1 0
32 18929 -1 0
33 5993 -1 0
34 10074 -1 0
35 16585 -1 0
36 17282 -1 0
37 3543 -1 0
38 10216 -1 0
39 7605 1541 0
40 13183 -1 0
41 1212 -1 0
42 8168 256 0
43 3051 -1 0
44 8572 -1 0
45 4362 8185 0
46 1744 9514 0
47 2458 -1 0
48 3997 -1 0
49 8581 -1 0.001465
50 1193 -1 0
51 3832 -1 0
52 7083 1677 0
53 4129 -1 0
54 5920 -1 0
55 11371 -1 0
56 13926 -1 0
57 4557 -1 0
58 3998 848 0
59 10 824 0
60 5885 -1 0
61 13425 -1 0
62 5467 -1 0
63 10015 7415 0
64 16765 7301 0
65 12148 -1 0
66 13966 -1 0
67 5328 -1 0
68 11175 7246 0
69 10945 -1 0
70 6472 -1 0
71 9758 -1 0
72 5221 3151 0
73 10 824 0
74 12003 -1 0
75 3662 8536 0
76 10301 -1 0
77 3693 -1 0
78 10581 -1 0
79 12615 -1 0
80 18854 -1 0
81 342 872 0
82 5481 -1 0
83 15898 -1 0
84 5147 4309 0
85 5958 -1 0
86 10831 -1 0
87 2825 -1 0
88 7183 8884 0
89 19571 -1 0
90 2962 -1 0
91 11137 -1 0
92 6656 -1 0
93 9392 -1 0
94 19275 -1 0
95 9993 -1 0
96 11342 4974 0
97 18894 -1 0
98 18100 -1 0
99 10688 1269 0
~~ For list with 15000 elements ~~
0 7933 14585 0
1 19585 -1 0
2 17981 -1 0
3 22558 8590 0
4 21354 -1 0
5 1066 -1 0
6 10670 -1 0
7 29383 -1 0
8 1980 8148 0
9 24720 -1 0
10 5549 -1 0
11 25463 -1 0
12 28391 -1 0
13 1137 1935 0
14 28672 -1 0
15 12332 5534 0
16 4351 9774 0
17 10487 -1 0
18 5739 -1 0
19 16363 -1 0
20 725 3411 0
21 21337 -1 0
22 4643 8379 0
23 4194 6183 0
24 7937 14923 0
25 27525 -1 0
26 8069 -1 0
27 28364 -1 0
28 22352 867 0
29 4652 188 0
30 24072 2215 0
31 14357 1747 0
32 6208 2998 0
33 527 -1 0
34 15473 -1 0
35 25662 13648 0
36 27866 10628 0
37 24681 -1 0
38 22 8566 0
39 24836 -1 0
40 29695 -1 0
41 941 -1 0
42 12164 1827 0
43 2700 9075 0
44 9911 7600 0
45 20049 4498 0
46 6036 -1 0
47 1362 6255 0
48 22725 -1 0.001028
49 8010 1055 0
50 1148 8494 0
51 21650 -1 0
52 10111 -1 0
53 24219 -1 0
54 2083 -1 0
55 6646 -1 0
56 19164 5728 0
57 4136 6280 0
58 13047 -1 0
59 16994 7938 0
60 1951 -1 0
61 25328 -1 0
62 16898 -1 0
63 15196 4549 0
64 27347 -1 0
65 11339 -1 0
66 20729 10787 0
67 23967 -1 0
68 26055 -1 0
69 10351 -1 0
70 24263 -1 0
71 20930 -1 0
72 17405 -1 0
73 9273 9105 0
74 21866 -1 0
75 10261 -1 0
76 10638 -1 0
77 29739 -1 0.001129
78 13549 -1 0
79 10188 11653 0
80 10992 11713 0
81 23729 -1 0
82 27286 -1 0
83 6495 4006 0
84 2202 1660 0
85 20392 -1 0
86 10336 1062 0
87 4144 12440 0
88 11270 -1 0
89 8992 -1 0
90 20651 -1 0
91 575 13180 0
92 2040 759 0
93 9569 -1 0
94 18995 -1 0
95 26170 1543 0
96 2527 1807 0
97 12845 -1 0
98 20543 -1 0
99 2521 7478 0
~~ For list with 20000 elements ~~
0 3398 -1 0
1 9128 -1 0
2 11263 12746 0
3 29046 196 0
4 713 -1 0
5 29211 17138 0
6 8439 15745 0
7 10717 -1 0
8 27374 7257 0
9 32736 -1 0
10 13902 493 0
11 31268 -1 0
12 25711 -1 0
13 664 8924 0
14 21938 -1 0
15 17816 -1 0
16 9336 -1 0
17 32147 -1 0
18 19648 -1 0
19 23726 14776 0
20 19894 11783 0
21 3222 -1 0
22 31932 -1 0
23 15849 -1 0
24 15794 -1 0
25 19419 -1 0
26 12934 -1 0
27 24062 -1 0
28 17501 13514 0
29 346 -1 0
30 15049 -1 0
31 15159 -1 0
32 31211 -1 0.001006
33 27463 5745 0
34 1654 -1 0
35 16405 -1 0
36 9957 -1 0
37 22492 4078 0
38 29553 -1 0
39 14649 3298 0
40 29306 12397 0
41 27224 7332 0
42 3466 -1 0
43 25220 3696 0
44 19223 -1 0
45 12616 11339 0
46 23470 -1 0
47 20350 3698 0
48 15671 -1 0
49 29189 -1 0
50 3422 -1 0
51 13044 -1 0
52 11387 -1 0
53 19838 15427 0
54 7265 17655 0
55 18918 119 0
56 8957 10063 0
57 8759 -1 0
58 14006 -1 0.001005
59 28064 -1 0
60 10978 8269 0
61 20370 5698 0
62 1229 16884 0
63 4390 8337 0
64 26158 -1 0
65 15950 -1 0
66 8183 -1 0
67 11733 8076 0
68 22748 16447 0
69 21069 9365 0
70 19738 -1 0
71 25416 -1 0
72 6447 8475 0
73 10650 8354 0
74 20393 -1 0
75 20089 11731 0
76 23107 -1 0
77 19626 -1 0
78 26835 10087 0
79 23592 -1 0
80 1255 9756 0
81 13282 7801 0
82 22267 8247 0
83 6785 6180 0
84 21167 11922 0
85 18010 -1 0.001031
86 26985 -1 0
87 19961 -1 0
88 8004 -1 0
89 13793 -1 0
90 31807 -1 0
91 19833 -1 0
92 25599 9612 0
93 23617 18403 0
94 28846 1377 0
95 27070 -1 0
96 4534 12275 0
97 32196 -1 0
98 30057 -1 0
99 25600 6030 0
~~ For list with 25000 elements ~~
0 16153 -1 0
1 7810 -1 0.001076
2 7739 456 0
3 14118 15365 0
4 3670 17111 0
5 9313 -1 0
6 19230 11247 0
7 10556 -1 0
8 12562 11425 0
9 10090 12876 0
10 32137 1814 0
11 26538 -1 0
12 23542 -1 0
13 15991 -1 0
14 4732 826 0
15 14020 8395 0
16 28691 5145 0
17 31775 -1 0
18 28867 6654 0
19 18035 -1 0
20 28862 -1 0
21 23864 -1 0
22 19820 3547 0
23 13530 1923 0
24 2974 2098 0
25 154 10907 0
26 5246 -1 0
27 9273 20738 0
28 26371 3468 0
29 3110 -1 0
30 18920 2814 0
31 26641 -1 0
32 10873 -1 0
33 25351 3058 0
34 30392 -1 0
35 3465 24418 0
36 30110 -1 0
37 4408 -1 0
38 30349 16999 0
39 17168 -1 0
40 14640 -1 0
41 4166 318 0
42 14671 -1 0
43 25412 11459 0
44 9834 -1 0
45 18776 20339 0
46 19741 3138 0
47 10002 17265 0
48 10385 21535 0
49 30828 -1 0
50 17543 -1 0
51 17183 -1 0
52 7370 -1 0
53 21731 19074 0
54 19710 20362 0
55 29799 20633 0
56 15406 20250 0
57 9024 24196 0
58 2440 11430 0
59 16421 14076 0
60 27680 2331 0
61 5165 16873 0
62 1465 18895 0
63 27378 24469 0
64 26846 -1 0
65 5311 602 0
66 21726 13179 0
67 27440 -1 0
68 32343 -1 0
69 29690 -1 0
70 12667 19239 0
71 23209 17607 0
72 17213 -1 0
73 408 -1 0
74 12536 22273 0
75 11124 -1 0
76 2650 8083 0
77 2566 -1 0.001004
78 24471 19113 0
79 9241 17553 0
80 32295 -1 0
81 21424 -1 0
82 22697 23883 0
83 26356 -1 0
84 6811 -1 0
85 382 -1 0
86 12034 -1 0
87 2271 17266 0
88 31041 6998 0
89 32414 -1 0
90 14762 -1 0
91 31499 5623 0
92 9101 10965 0
93 22405 2908 0
94 6357 -1 0
95 19503 24148 0
96 24432 -1 0
97 9264 4736 0
98 1813 3341 0.001005
99 1253 -1 0
~~ For list with 30000 elements ~~
0 32710 1131 0
1 31455 22645 0
2 3132 19738 0
3 18711 28516 0
4 5341 -1 0
5 27387 -1 0
6 15105 3422 0
7 6080 22614 0
8 3909 -1 0
9 25311 12492 0.001005
10 20292 -1 0
11 21355 -1 0
12 11810 -1 0
13 24301 4967 0
14 26221 24777 0
15 11319 -1 0
16 2088 896 0
17 26072 -1 0
18 19443 -1 0
19 24845 17033 0
20 15535 10527 0
21 17767 6083 0
22 21269 13740 0
23 640 16760 0
24 15114 17254 0
25 3189 14160 0
26 30923 15006 0
27 23800 20789 0
28 5141 -1 0
29 26173 -1 0.001
30 25084 -1 0
31 19984 8859 0
32 2574 -1 0
33 15060 6811 0
34 2545 -1 0
35 2364 26702 0
36 21158 405 0
37 14583 17165 0
38 13578 29497 0
39 4015 18907 0
40 16215 5781 0
41 11527 28074 0
42 31663 -1 0
43 24444 15895 0
44 16375 -1 0
45 18770 7935 0
46 394 -1 0
47 7675 -1 0
48 29582 12954 0.001008
49 17300 28037 0
50 11507 -1 0
51 16750 25707 0
52 15205 -1 0
53 27582 -1 0
54 29356 20005 0
55 32228 -1 0
56 1119 19991 0
57 8181 20987 0
58 2511 16964 0
59 31070 -1 0
60 14988 -1 0
61 16862 25475 0
62 7172 6245 0
63 2865 8525 0
