Iteration Key Index Time_taken(seconds)
~~ For list with 5000 elements ~~
0 6918 -1 0
1 2928 -1 0
2 6060 331 0
3 189 -1 0
4 8752 -1 0
5 7567 -1 0
6 9143 -1 0
7 4274 528 0
8 4553 -1 0
9 6892 -1 0
10 9103 -1 0
11 900 -1 0
12 5321 -1 0
13 923 -1 0
14 4707 -1 0
15 881 -1 0
16 3190 -1 0
17 9933 -1 0
18 435 -1 0
19 1276 -1 0
20 5716 -1 0
21 7587 -1 0
22 2224 -1 0
23 322 -1 0
24 4111 -1 0
25 9949 1495 0
26 4080 -1 0
27 2093 -1 0
28 4423 1957 0
29 5352 4450 0
30 2422 3541 0
31 392 -1 0
32 9515 -1 0
33 3864 -1 0
34 3618 -1 0
35 6341 -1 0
36 5306 -1 0
37 5202 4752 0
38 9717 1485 0
39 1932 3253 0
40 4197 -1 0
41 1069 -1 0
42 6776 -1 0
43 804 -1 0
44 4713 4556 0
45 1369 1457 0
46 3085 -1 0
47 2791 -1 0
48 700 -1 0
49 1809 -1 0
50 5365 2481 0
51 7505 -1 0
52 7606 4707 0
53 813 3278 0
54 9971 -1 0
55 5673 -1 0
56 3026 2404 0
57 1580 2709 0
58 6994 -1 0
59 3475 -1 0
60 7780 1937 0
61 5936 -1 0
62 5363 3490 0
63 6453 4718 0
64 4445 -1 0
65 2170 -1 0
66 7033 -1 0
67 4857 -1 0
68 1565 -1 0
69 3319 1236 0
70 8793 -1 0
71 9139 -1 0
72 1096 645 0
73 7019 -1 0
74 1915 -1 0
75 2099 -1 0
76 5165 -1 0
77 173 -1 0
78 1158 -1 0
79 3453 -1 0
80 9059 -1 0
81 451 3415 0
82 2060 470 0
83 5015 1408 0
84 3780 -1 0
85 6352 -1 0
86 6529 -1 0
87 1826 2073 0
88 3375 281 0
89 1227 -1 0
90 7202 -1 0
91 1709 318 0
92 2680 -1 0
93 5601 -1 0
94 1619 -1 0
95 1958 372 0
96 9475 -1 0
97 7198 2560 0
98 3674 -1 0
99 755 4242 0
~~ For list with 10000 elements ~~
0 7138 7231 0
1 1618 2817 0
2 11116 -1 0
3 18160 8481 0
4 10522 531 0
5 9451 -1 0
6 18746 7755 0
7 2778 -1 0
8 10205 6869 0
9 9277 89 0
10 2482 9628 0
11 18569 -1 0
12 399 -1 0
13 7723 -1 0
14 18265 -1 0
15 3675 -1 0
16 9444 -1 0
17 4457 7322 0
18 9415 3219 0
19 5592 4204 0
20 11190 3949 0
21 12540 -1 0
22 1627 -1 0
23 9877 -1 0
24 13588 -1 0
25 2946 4744 0
26 1549 2976 0
27 4889 1581 0
28 5628 -1 0
29 12722 -1 0
30 6212 -1 0
31 16926 -1 0
32 2347 9311 0
33 19364 1986 0
34 19722 -1 0
35 12602 4739 0
36 1012 8275 0
37 13651 -1 0
38 8668 3000 0
39 8350 256 0
40 4720 8448 0
41 738 2407 0
42 11430 2477 0
43 1759 1282 0
44 6166 -1 0
45 5150 -1 0
46 13263 -1 0
47 12307 -1 0.001004
48 5228 -1 0
49 9922 7269 0
50 4849 5928 0
51 222 5313 0
52 18652 -1 0
53 12768 -1 0
54 8172 -1 0
55 2542 -1 0
56 8713 8889 0
57 3519 -1 0
58 19706 2863 0
59 10820 8985 0
60 2692 6572 0
61 10016 -1 0
62 10950 -1 0
63 12148 -1 0
64 7546 255 0
65 3494 4093 0
66 3961 3741 0
67 878 -1 0
68 14577 -1 0
69 7220 -1 0
70 3638 3160 0
71 8254 7095 0
72 147 5952 0
73 16057 -1 0
74 16711 3921 0
75 8849 2964 0
76 8777 887 0
77 8106 -1 0
78 19638 -1 0
79 1209 2484 0
80 4236 -1 0
81 11471 -1 0
82 1984 3304 0
83 7570 -1 0
84 6008 444 0
85 6849 1746 0
86 4871 -1 0
87 12998 -1 0.001011
88 163 -1 0
89 18353 -1 0
90 14312 -1 0
91 782 -1 0
92 5836 9525 0
93 5613 1310 0
94 7309 6324 0
95 9083 6142 0
96 6807 3262 0
97 11679 -1 0
98 17315 5405 0
99 7348 2155 0
~~ For list with 15000 elements ~~
0 16765 -1 0
1 24036 -1 0
2 20845 8013 0
3 1366 3785 0
4 6735 13396 0
5 14118 -1 0
6 17339 11188 0
7 11678 -1 0
8 22075 -1 0
9 10756 -1 0
10 1147 4503 0
11 613 12215 0
12 19193 -1 0
13 28198 -1 0.001035
14 579 -1 0
15 3059 10327 0
16 8189 -1 0
17 1791 -1 0
18 1353 2371 0
19 23144 -1 0
20 27978 1025 0
21 14163 2801 0
22 25813 -1 0
23 15978 -1 0
24 15499 3437 0
25 19959 -1 0
26 12534 399 0
27 21024 -1 0
28 8288 -1 0
29 12249 9535 0
